Wall Time,Step,Accuracy,Run
1550961290.762514,0,0.10000000149011612,1
1550961363.236868,4009,0.7260000109672546,1
1550961496.239333,8010,0.8288000226020813,1
1550961629.027726,12013,0.845300018787384,1
1550961761.928334,16012,0.8400999903678894,1
1550961894.845742,20012,0.8428999781608582,1
1550962027.487404,24015,0.8748000264167786,1
1550962160.177614,28017,0.8641999959945679,1
1550962293.149186,32022,0.8937000036239624,1
1550962426.008617,36020,0.9232000112533569,1
1550962559.156422,40020,0.9225999712944031,1
1550962631.800281,44019,0.925599992275238,1
1550962764.763429,48023,0.9261999726295471,1
1550962897.707179,52021,0.9265000224113464,1
1550963030.706199,56023,0.9265999794006348,1
1550963163.677898,60026,0.9272000193595886,1
1550963296.784186,64002,0.9265999794006348,1
1550964069.002622,0,0.09989999979734421,2
1550964201.585101,4008,0.6561999917030334,2
1550964274.070571,8012,0.8138999938964844,2
1550964406.740959,12011,0.8399999737739563,2
1550964539.489876,16014,0.8460999727249146,2
1550964672.101009,20014,0.8245999813079834,2
1550964804.766287,24015,0.8823999762535095,2
1550964877.215646,28016,0.8668000102043152,2
1550965010.05688,32020,0.8984000086784363,2
1550965142.60568,36021,0.9291999936103821,2
1550965275.405569,40021,0.9307000041007996,2
1550965408.226618,44025,0.9329000115394592,2
1550965480.696864,48026,0.9318000078201294,2
1550965614.02058,52028,0.9330000281333923,2
1550965746.840981,56030,0.9314000010490417,2
1550965879.900678,60029,0.9325000047683716,2
1550966013.065223,64002,0.9312999844551086,2
1550966747.290969,0,0.10119999945163727,3
1550966880.362956,4008,0.7639999985694885,3
1550967013.508427,8008,0.8220000267028809,3
1550967086.303318,12009,0.8479999899864197,3
1550967220.785332,16012,0.8313999772071838,3
1550967354.081481,20012,0.8596000075340271,3
1550967487.18943,24016,0.8607000112533569,3
1550967620.271614,28019,0.8417999744415283,3
1550967692.763256,32020,0.8895999789237976,3
1550967825.717243,36019,0.9235000014305115,3
1550967959.462972,40021,0.92330002784729,3
1550968093.833742,44022,0.9257000088691711,3
1550968228.544212,48025,0.9254000186920166,3
1550968302.021387,52026,0.9258999824523926,3
1550968435.150403,56028,0.9264000058174133,3
1550968568.246341,60026,0.9253000020980835,3
1550968701.459212,64001,0.9258000254631042,3
1550969429.702831,0,0.10589999705553055,4
1550969562.644401,4007,0.7684000134468079,4
1550969635.34357,8009,0.8126999735832214,4
1550969768.408006,12008,0.8471999764442444,4
1550969902.493955,16008,0.822700023651123,4
1550970035.554821,20009,0.8691999912261963,4
1550970169.88662,24012,0.8956999778747559,4
1550970302.859294,28012,0.8787000179290771,4
1550970375.342877,32013,0.8357999920845032,4
1550970508.119181,36013,0.9290000200271606,4
1550970640.884577,40014,0.929099977016449,4
1550970773.879255,44014,0.9294999837875366,4
1550970906.76211,48017,0.929099977016449,4
1550971039.778234,52017,0.9314000010490417,4
1550971112.813725,56020,0.9304999709129333,4
1550971245.868361,60020,0.932200014591217,4
1550971378.708265,64001,0.9311000108718872,4
1550972145.556104,0,0.0966000035405159,5
1550972218.350213,4007,0.7680000066757202,5
1550972351.067944,8010,0.8162000179290771,5
1550972483.986958,12012,0.8339999914169312,5
1550972617.270307,16013,0.8319000005722046,5
1550972750.366371,20016,0.8644000291824341,5
1550972883.005452,24019,0.8745999932289124,5
1550973015.864203,28019,0.8568999767303467,5
1550973088.756546,32023,0.885699987411499,5
1550973221.906058,36022,0.923799991607666,5
1550973354.749569,40023,0.925000011920929,5
1550973487.688359,44026,0.9243000149726868,5
1550973620.755911,48030,0.9240000247955322,5
1550973753.623331,52030,0.9246000051498413,5
1550973887.447503,56030,0.9243999719619751,5
1550973960.0137,60029,0.9240000247955322,5
1550974093.316633,64001,0.9247000217437744,5
