Wall Time,Step,Accuracy,Run
1550884561.66239,0,0.10029999911785126,1
1550884871.964875,4005,0.5181000232696533,1
1550885121.894795,8007,0.7078999876976013,1
1550885432.174939,12010,0.76910001039505,1
1550885742.324493,16011,0.859499990940094,1
1550886052.767628,20013,0.8503000140190125,1
1550886363.009047,24017,0.84170001745224,1
1550886613.251889,28019,0.8784000277519226,1
1550886923.444504,32020,0.891700029373169,1
1550887233.78067,36023,0.9190999865531921,1
1550887543.893329,40024,0.9212999939918518,1
1550887793.868305,44023,0.9204999804496765,1
1550888104.093892,48026,0.920799970626831,1
1550888414.46657,52025,0.9221000075340271,1
1550888664.335144,56028,0.9223999977111816,1
1550888974.587963,60032,0.920799970626831,1
1550889284.889583,64003,0.9226999878883362,1
1550896563.050424,0,0.08330000191926956,2
1550896813.009135,4003,0.47189998626708984,2
1550897123.102618,8005,0.6603000164031982,2
1550897373.086636,12011,0.7439000010490417,2
1550897683.335882,16013,0.786899983882904,2
1550897993.412955,20015,0.8194000124931335,2
1550898243.051077,24016,0.8733999729156494,2
1550898553.179822,28018,0.8379999995231628,2
1550898863.330364,32021,0.8837000131607056,2
1550899173.499921,36024,0.9192000031471252,2
1550899423.431501,40027,0.9197999835014343,2
1550899733.619444,44029,0.921500027179718,2
1550900043.753925,48035,0.9210000038146973,2
1550900294.003399,52039,0.9210000038146973,2
1550900604.190223,56040,0.9207000136375427,2
1550900914.307652,60045,0.9207000136375427,2
1550901164.237407,64002,0.9200999736785889,2
1550901656.221875,0,0.10000000149011612,3
1550901966.453815,4003,0.5557000041007996,3
1550902216.511407,8005,0.7628999948501587,3
1550902526.867292,12005,0.8273000121116638,3
1550902776.920239,16006,0.8389000296592712,3
1550903087.20882,20009,0.8647000193595886,3
1550903337.199546,24011,0.8373000025749207,3
1550903647.452738,28014,0.8578000068664551,3
1550903897.519264,32015,0.88919997215271,3
1550904207.850168,36016,0.9194999933242798,3
1550904458.186757,40020,0.9205999970436096,3
1550904768.623329,44022,0.9205999970436096,3
1550905019.12662,48025,0.9200999736785889,3
1550905329.383202,52026,0.9210000038146973,3
1550905579.412994,56028,0.9208999872207642,3
1550905889.691652,60033,0.9204999804496765,3
1550906139.764832,64004,0.9212999939918518,3
1550906617.688853,0,0.10000000149011612,4
1550906928.096297,4005,0.531000018119812,4
1550907177.959907,8009,0.7258999943733215,4
1550907487.813665,12014,0.7868000268936157,4
1550907737.891851,16015,0.8007000088691711,4
1550908048.032408,20016,0.8198999762535095,4
1550908358.180024,24018,0.8648999929428101,4
1550908608.291742,28020,0.84579998254776,4
1550908919.353707,32023,0.8967999815940857,4
1550909229.614594,36024,0.9185000061988831,4
1550909479.617509,40028,0.91839998960495,4
1550909789.796211,44029,0.9193999767303467,4
1550910039.650425,48033,0.9205999970436096,4
1550910350.097111,52034,0.9207000136375427,4
1550910660.363891,56039,0.9200000166893005,4
1550910910.410643,60041,0.9208999872207642,4
1550911220.457286,64004,0.920799970626831,4
1550911682.396269,0,0.09860000014305115,5
1550911932.26058,4003,0.5271999835968018,5
1550912242.2947,8009,0.6452000141143799,5
1550912552.370029,12010,0.734000027179718,5
1550912862.338238,16009,0.8349000215530396,5
1550913112.167142,20014,0.8246999979019165,5
1550913421.985896,24018,0.8252000212669373,5
1550913731.984873,28021,0.8447999954223633,5
1550913982.07767,32024,0.8925999999046326,5
1550914292.279135,36024,0.9143999814987183,5
1550914602.38472,40028,0.9161999821662903,5
1550914852.342574,44030,0.916700005531311,5
1550915162.382302,48032,0.9154000282287598,5
1550915472.413654,52035,0.917900025844574,5
1550915722.148138,56037,0.9172000288963318,5
1550916032.25309,60041,0.9175999760627747,5
1550916282.243142,64005,0.9175000190734863,5
