Zone,Run,Duration,Accuracy,Cost
us-east1-c,1,3654.454548,0.917900026,3.080778273
us-east1-c,2,3534.730384,0.907800019,2.979848408
us-east1-c,3,3474.777911,0.913699985,2.929307274
us-east1-c,4,3594.947718,0.899699986,3.030612825
us-east1-c,5,3650.108237,0.921199977,3.077114246
us-east1-c,6,3532.886483,0.907999992,2.978293963
us-east1-c,7,3651.781341,0.912899971,3.078524706
us-east1-c,8,3592.46353,0.919099987,3.028518605
us-east1-c,9,3594.189482,0.926500022,3.029973617
us-east1-c,10,3531.988252,0.893400013,2.977536736
