Wall Time,Step,Accuracy,Zone,Run
1550244901.891395,0,0.10000000149011612,us-central1-c,1
1550245039.731749,4014,0.2222999930381775,us-central1-c,1
1550245117.225634,8023,0.27639999985694885,us-central1-c,1
1550245254.65738,12026,0.3375999927520752,us-central1-c,1
1550245331.613911,16043,0.41190001368522644,us-central1-c,1
1550245468.604537,20043,0.4912000000476837,us-central1-c,1
1550245605.534583,24048,0.4934000074863434,us-central1-c,1
1550245682.77267,28059,0.6394000053405762,us-central1-c,1
1550245820.541381,32067,0.7847999930381775,us-central1-c,1
1550245897.349421,36070,0.8034999966621399,us-central1-c,1
1550246034.31291,40083,0.8073999881744385,us-central1-c,1
1550246171.506308,44093,0.809499979019165,us-central1-c,1
1550246248.503069,48105,0.8217999935150146,us-central1-c,1
1550246386.145623,52107,0.8234000205993652,us-central1-c,1
1550246462.643959,56116,0.8242999911308289,us-central1-c,1
1550246599.502733,60122,0.8278999924659729,us-central1-c,1
1550246677.200041,64009,0.8252000212669373,us-central1-c,1
1550247428.135216,0,0.10819999873638153,us-central1-c,2
1550247565.456205,4022,0.30379998683929443,us-central1-c,2
1550247703.391582,8030,0.38499999046325684,us-central1-c,2
1550247780.357413,12042,0.4489000141620636,us-central1-c,2
1550247917.191783,16054,0.6481000185012817,us-central1-c,2
1550247994.413306,20059,0.6414999961853027,us-central1-c,2
1550248131.136267,24064,0.7394000291824341,us-central1-c,2
1550248268.210285,28073,0.7461000084877014,us-central1-c,2
1550248344.692691,32086,0.8783000111579895,us-central1-c,2
1550248481.548485,36098,0.8878999948501587,us-central1-c,2
1550248558.818413,40104,0.8827999830245972,us-central1-c,2
1550248695.884443,44112,0.8841000199317932,us-central1-c,2
1550248833.486002,48122,0.885699987411499,us-central1-c,2
1550248910.046062,52126,0.8835999965667725,us-central1-c,2
1550249046.902491,56137,0.8863000273704529,us-central1-c,2
1550249123.723536,60146,0.8858000040054321,us-central1-c,2
1550249261.679789,64014,0.8862000107765198,us-central1-c,2
1550244867.633039,0,0.1005999967455864,us-west1-b,1
1550245004.911436,4023,0.290800005197525,us-west1-b,1
1550245082.158458,8037,0.4099000096321106,us-west1-b,1
1550245219.548825,12045,0.4781999886035919,us-west1-b,1
1550245356.530542,16055,0.6754000186920166,us-west1-b,1
1550245433.592801,20063,0.7638000249862671,us-west1-b,1
1550245571.61079,24075,0.7821000218391418,us-west1-b,1
1550245648.076093,28078,0.7587000131607056,us-west1-b,1
1550245784.57491,32087,0.8657000064849854,us-west1-b,1
1550245921.36492,36100,0.8823000192642212,us-west1-b,1
1550245998.1644,40108,0.8828999996185303,us-west1-b,1
1550246135.670888,44114,0.8805000185966492,us-west1-b,1
1550246213.107742,48123,0.8838000297546387,us-west1-b,1
1550246350.732196,52145,0.8835999965667725,us-west1-b,1
1550246488.005156,56150,0.8842999935150146,us-west1-b,1
1550246565.250393,60158,0.8841000199317932,us-west1-b,1
1550246703.850693,64012,0.8847000002861023,us-west1-b,1
1550244853.391102,0,0.10849999636411667,us-west1-b,2
1550244990.118178,4022,0.39340001344680786,us-west1-b,2
1550245127.072602,8033,0.5049999952316284,us-west1-b,2
1550245204.318333,12046,0.6480000019073486,us-west1-b,2
1550245341.110583,16050,0.7627999782562256,us-west1-b,2
1550245477.922307,20059,0.7544000148773193,us-west1-b,2
1550245555.229986,24061,0.788100004196167,us-west1-b,2
1550245692.978884,28067,0.7720999717712402,us-west1-b,2
1550245769.670512,32075,0.8629999756813049,us-west1-b,2
1550245907.501597,36082,0.8751999735832214,us-west1-b,2
1550245984.563069,40087,0.8773999810218811,us-west1-b,2
1550246122.312121,44096,0.8766000270843506,us-west1-b,2
1550246259.423137,48097,0.8774999976158142,us-west1-b,2
1550246335.771914,52116,0.8781999945640564,us-west1-b,2
1550246472.77835,56121,0.8783000111579895,us-west1-b,2
1550246549.036861,60124,0.876800000667572,us-west1-b,2
1550246686.634574,64012,0.8777999877929688,us-west1-b,2
1550247428.492134,0,0.10000000149011612,us-west1-b,3
1550247565.588412,4020,0.39879998564720154,us-west1-b,3
1550247702.590991,8036,0.47040000557899475,us-west1-b,3
1550247779.700765,12040,0.5403000116348267,us-west1-b,3
1550247917.551027,16052,0.6913999915122986,us-west1-b,3
1550247994.515697,20055,0.730400025844574,us-west1-b,3
1550248131.680968,24068,0.7741000056266785,us-west1-b,3
1550248208.283758,28081,0.8133000135421753,us-west1-b,3
1550248344.684132,32090,0.8802000284194946,us-west1-b,3
1550248481.472541,36087,0.8949000239372253,us-west1-b,3
1550248558.584449,40101,0.8945000171661377,us-west1-b,3
1550248695.966622,44105,0.8960000276565552,us-west1-b,3
1550248772.965278,48109,0.8948000073432922,us-west1-b,3
1550248910.103469,52117,0.8946999907493591,us-west1-b,3
1550249048.01105,56127,0.8966000080108643,us-west1-b,3
1550249125.407985,60139,0.8966000080108643,us-west1-b,3
1550249263.179436,64013,0.8956000208854675,us-west1-b,3
1550247428.945398,0,0.10010000318288803,us-west1-b,4
1550247565.589169,4019,0.40540000796318054,us-west1-b,4
1550247702.502679,8029,0.5769000053405762,us-west1-b,4
1550247779.070981,12036,0.6564000248908997,us-west1-b,4
1550247916.712704,16046,0.7947999835014343,us-west1-b,4
1550247993.164755,20041,0.8237000107765198,us-west1-b,4
1550248130.561803,24046,0.8230999708175659,us-west1-b,4
1550248207.358797,28054,0.8360000252723694,us-west1-b,4
1550248344.743545,32065,0.8798999786376953,us-west1-b,4
1550248482.271983,36077,0.901199996471405,us-west1-b,4
1550248559.722882,40077,0.9031999707221985,us-west1-b,4
1550248697.252358,44085,0.9041000008583069,us-west1-b,4
1550248774.249571,48092,0.9007999897003174,us-west1-b,4
1550248911.176155,52097,0.9024999737739563,us-west1-b,4
1550248987.62915,56102,0.9027000069618225,us-west1-b,4
1550249124.833416,60112,0.9035000205039978,us-west1-b,4
1550249262.450709,64010,0.9021999835968018,us-west1-b,4
1550244852.784831,0,0.10649999976158142,europe-west1-b,1
1550244990.162699,4021,0.36899998784065247,europe-west1-b,1
1550245067.417912,8028,0.4449000060558319,europe-west1-b,1
1550245204.593735,12028,0.4634999930858612,europe-west1-b,1
1550245342.234081,16036,0.6739000082015991,europe-west1-b,1
1550245419.018294,20047,0.7718999981880188,europe-west1-b,1
1550245556.879368,24060,0.7490000128746033,europe-west1-b,1
1550245694.182192,28067,0.8299000263214111,europe-west1-b,1
1550245770.955915,32076,0.8809999823570251,europe-west1-b,1
1550245909.481677,36078,0.892300009727478,europe-west1-b,1
1550245986.830137,40082,0.8921999931335449,europe-west1-b,1
1550246126.094083,44092,0.8902999758720398,europe-west1-b,1
1550246203.514296,48101,0.8919000029563904,europe-west1-b,1
1550246340.778036,52109,0.8902999758720398,europe-west1-b,1
1550246477.642349,56116,0.8917999863624573,europe-west1-b,1
1550246555.035969,60120,0.892799973487854,europe-west1-b,1
1550246691.433725,64012,0.8925999999046326,europe-west1-b,1
1550244852.898011,0,0.10000000149011612,europe-west1-b,2
1550244990.422306,4020,0.4018000066280365,europe-west1-b,2
1550245067.581708,8026,0.5065000057220459,europe-west1-b,2
1550245205.064811,12036,0.6952999830245972,europe-west1-b,2
1550245342.386634,16046,0.7682999968528748,europe-west1-b,2
1550245418.952422,20057,0.7932999730110168,europe-west1-b,2
1550245556.832365,24064,0.7932000160217285,europe-west1-b,2
1550245694.832399,28067,0.823199987411499,europe-west1-b,2
1550245772.148371,32073,0.8730999827384949,europe-west1-b,2
1550245909.24787,36081,0.8873000144958496,europe-west1-b,2
1550246046.309703,40090,0.8888999819755554,europe-west1-b,2
1550246123.033041,44099,0.8889999985694885,europe-west1-b,2
1550246260.578863,48108,0.8867999911308289,europe-west1-b,2
1550246337.685653,52121,0.887499988079071,europe-west1-b,2
1550246475.607888,56138,0.8880000114440918,europe-west1-b,2
1550246613.179881,60144,0.8873000144958496,europe-west1-b,2
1550246690.474884,64009,0.8881999850273132,europe-west1-b,2
