Zone,Run,Duration,Accuracy,Cost
us-east1-c,2,6879.188981,0.909799993,1.249948638
us-east1-c,3,9651.353379,0.92110002,1.753650909
us-east1-c,4,9231.450971,0.923799992,1.677354641
us-east1-c,5,12978.63934,0.92750001,2.358218768
us-east1-c,6,6922.379609,0.91170001,1.257796375
us-east1-c,7,6990.41072,0.92869997,1.270157628
us-east1-c,8,6923.625568,0.92019999,1.258022766
us-central1-c,1,6992.56139,0.918600023,1.270548405
us-central1-c,2,6985.918288,0.917999983,1.269341353
us-central1-c,3,6989.464339,0.917100012,1.26998567
us-central1-c,4,6985.671379,0.930899978,1.26929649
us-central1-c,5,6982.023029,0.926199973,1.268633584
us-central1-c,6,7046.324273,0.919700027,1.28031712
us-central1-c,7,7046.988037,0.912500024,1.280437726
us-central1-c,8,7045.714015,0.9278,1.280206237
us-west1-b,1,7102.458603,0.919799984,1.290516728
us-west1-b,2,7048.772484,0.922699988,1.28076196
us-west1-b,3,7042.758465,0.922699988,1.279669213
us-west1-b,4,13887.34532,0.909099996,2.523330645
us-west1-b,5,6990.501665,0.917299986,1.270174153
us-west1-b,6,7045.86101,0.919099987,1.280232946
us-west1-b,7,11344.13564,0.922399998,2.061229446
us-west1-b,8,7108.508678,0.902700007,1.291616027
europe-west1-b,1,7049.455164,0.902400017,1.280886003
europe-west1-b,2,7952.290686,0.923600018,1.444931218
europe-west1-b,3,7044.702678,0.918299973,1.280022477
europe-west1-b,4,7049.520827,0.924799979,1.280897934
europe-west1-b,5,7047.77082,0.919799984,1.280579958
europe-west1-b,6,7114.449398,0.914200008,1.292695456
europe-west1-b,7,7108.505724,0.921500027,1.29161549
europe-west1-b,8,7110.926767,0.924600005,1.292055394
