Zone,Run,Cost
us-east1-c,1,1.124638329204
us-east1-c,2,1.1252960882514
us-east1-c,3,1.1957091860240001
us-east1-c,4,1.145548213017
us-east1-c,5,1.1262125431596
us-east1-c,6,1.1267688954132
us-east1-c,7,1.06002259116
us-east1-c,8,1.1256011583453
us-central1-c,1,1.1451503870118
us-central1-c,2,1.1448965375874
us-central1-c,3,1.1768210328175002
us-central1-c,4,1.2049335269945
us-central1-c,5,1.1643043426734003
us-central1-c,6,1.1272970945067
us-central1-c,7,1.1257108078359
us-central1-c,8,1.1986547012893003
us-west1-b,1,1.1437407764484
us-west1-b,2,1.2985247188064
us-west1-b,3,1.1266036041585001
us-west1-b,4,1.1634822756959
us-west1-b,5,1.1263452485064
us-west1-b,6,1.1443676590476
us-west1-b,7,1.1920569077551002
us-west1-b,8,1.2015737335441001
europe-west1-b,1,1.1278875702432
europe-west1-b,2,1.145920202583
europe-west1-b,3,1.1823700124904999
europe-west1-b,4,1.1643718127808003
europe-west1-b,5,1.1449655070516
europe-west1-b,6,1.1467401948912002
europe-west1-b,7,1.1463023424099001
europe-west1-b,8,1.1452787502468
