Wall Time,Step,Accuracy,Zone,Run
1550115332,0,0.092100002,us-east1-c,1
1550115470,4014,0.376899987,us-east1-c,1
1550115606,8020,0.393400013,us-east1-c,1
1550115683,12030,0.53640002,us-east1-c,1
1550115820,16040,0.674199998,us-east1-c,1
1550115900,20051,0.717800021,us-east1-c,1
1550116038,24062,0.821500003,us-east1-c,1
1550116115,28070,0.815400004,us-east1-c,1
1550116252,32078,0.864700019,us-east1-c,1
1550116389,36084,0.881500006,us-east1-c,1
1550116466,40085,0.881699979,us-east1-c,1
1550116603,44091,0.8847,us-east1-c,1
1550116681,48096,0.881600022,us-east1-c,1
1550116819,52101,0.884299994,us-east1-c,1
1550116957,56107,0.884000003,us-east1-c,1
1550117094,60115,0.884000003,us-east1-c,1
1550117233,64010,0.884500027,us-east1-c,1
1550122859,0,0.100000001,us-east1-c,2
1550122996,4016,0.381799996,us-east1-c,2
1550123133,8023,0.440400004,us-east1-c,2
1550123270,12030,0.669200003,us-east1-c,2
1550123347,16037,0.755100012,us-east1-c,2
1550123483,20044,0.80339998,us-east1-c,2
1550123560,24050,0.851000011,us-east1-c,2
1550123698,28058,0.876600027,us-east1-c,2
1550123774,32062,0.875999987,us-east1-c,2
1550123910,36068,0.911000013,us-east1-c,2
1550124048,40073,0.910700023,us-east1-c,2
1550124124,44083,0.911300004,us-east1-c,2
1550124261,48089,0.909200013,us-east1-c,2
1550124340,52099,0.909699976,us-east1-c,2
1550124477,56106,0.90990001,us-east1-c,2
1550124615,60117,0.910399973,us-east1-c,2
1550124691,64012,0.911199987,us-east1-c,2
1550125476,0,0.101599999,us-east1-c,3
1550125613,4016,0.439900011,us-east1-c,3
1550125750,8021,0.694500029,us-east1-c,3
1550125827,12032,0.764400005,us-east1-c,3
1550125965,16041,0.804799974,us-east1-c,3
1550126103,20044,0.837100029,us-east1-c,3
1550126180,24052,0.808099985,us-east1-c,3
1550126317,28056,0.763700008,us-east1-c,3
1550126395,32064,0.885699987,us-east1-c,3
1550126533,36068,0.898400009,us-east1-c,3
1550126610,40076,0.897400022,us-east1-c,3
1550126748,44083,0.898100019,us-east1-c,3
1550126885,48096,0.896700025,us-east1-c,3
1550126962,52105,0.899100006,us-east1-c,3
1550127099,56120,0.899399996,us-east1-c,3
1550127175,60124,0.899999976,us-east1-c,3
1550127313,64013,0.899100006,us-east1-c,3
1550127918,0,0.100000001,us-east1-c,4
1550128056,4017,0.318199992,us-east1-c,4
1550128134,8021,0.467000008,us-east1-c,4
1550128271,12028,0.604200006,us-east1-c,4
1550128409,16030,0.734300017,us-east1-c,4
1550128486,20043,0.732800007,us-east1-c,4
1550128623,24047,0.783100009,us-east1-c,4
1550128700,28052,0.819199979,us-east1-c,4
1550128838,32060,0.873899996,us-east1-c,4
1550128915,36067,0.891799986,us-east1-c,4
1550129052,40078,0.891600013,us-east1-c,4
1550129190,44088,0.887899995,us-east1-c,4
1550129268,48097,0.886600018,us-east1-c,4
1550129406,52101,0.889100015,us-east1-c,4
1550129483,56112,0.890399992,us-east1-c,4
1550129620,60120,0.889599979,us-east1-c,4
1550129696,64013,0.887399971,us-east1-c,4
1550130396,0,0.100599997,us-east1-c,5
1550130535,4017,0.340200007,us-east1-c,5
1550130672,8021,0.391499996,us-east1-c,5
1550130748,12030,0.576699972,us-east1-c,5
1550130885,16034,0.689800024,us-east1-c,5
1550131023,20039,0.7755,us-east1-c,5
1550131099,24044,0.780399978,us-east1-c,5
1550131236,28056,0.840699971,us-east1-c,5
1550131313,32064,0.884299994,us-east1-c,5
1550131451,36074,0.900900006,us-east1-c,5
1550131588,40077,0.901300013,us-east1-c,5
1550131666,44080,0.90109998,us-east1-c,5
1550131803,48087,0.902400017,us-east1-c,5
1550131941,52094,0.903699994,us-east1-c,5
1550132078,56104,0.902800024,us-east1-c,5
1550132215,60112,0.901600003,us-east1-c,5
1550132354,64008,0.901000023,us-east1-c,5
1550156766,0,0.085100003,us-east1-c,6
1550156965,4016,0.289600015,us-east1-c,6
1550157042,8028,0.446700007,us-east1-c,6
1550157180,12036,0.532400012,us-east1-c,6
1550157256,16047,0.687600017,us-east1-c,6
1550157394,20050,0.683499992,us-east1-c,6
1550157470,24058,0.763999999,us-east1-c,6
1550157609,28069,0.755599976,us-east1-c,6
1550157748,32074,0.864099979,us-east1-c,6
1550157825,36084,0.880599976,us-east1-c,6
1550157963,40091,0.883000016,us-east1-c,6
1550158041,44097,0.882300019,us-east1-c,6
1550158179,48101,0.880800009,us-east1-c,6
1550158257,52108,0.88349998,us-east1-c,6
1550158395,56114,0.880400002,us-east1-c,6
1550158472,60126,0.88319999,us-east1-c,6
1550158610,64012,0.882300019,us-east1-c,6
1550159855,0,0.098800004,us-east1-c,7
1550160053,4014,0.240500003,us-east1-c,7
1550160130,8026,0.282999992,us-east1-c,7
1550160268,12031,0.356599987,us-east1-c,7
1550160344,16045,0.382999986,us-east1-c,7
1550160482,20048,0.524200022,us-east1-c,7
1550160559,24055,0.4903,us-east1-c,7
1550160696,28068,0.725700021,us-east1-c,7
1550160834,32080,0.812399983,us-east1-c,7
1550160911,36098,0.827199996,us-east1-c,7
1550161048,40103,0.83890003,us-east1-c,7
1550161126,44110,0.832400024,us-east1-c,7
1550161263,48122,0.835200012,us-east1-c,7
1550161341,52128,0.849300027,us-east1-c,7
1550161478,56139,0.836300015,us-east1-c,7
1550161555,60148,0.845000029,us-east1-c,7
1550161693,64011,0.843400002,us-east1-c,7
1550162647,0,0.100000001,us-east1-c,8
1550162785,4018,0.402700007,us-east1-c,8
1550162923,8023,0.520500004,us-east1-c,8
1550162999,12028,0.637399971,us-east1-c,8
1550163137,16030,0.699500024,us-east1-c,8
1550163275,20035,0.727699995,us-east1-c,8
1550163413,24042,0.762199998,us-east1-c,8
1550163550,28051,0.673300028,us-east1-c,8
1550163626,32055,0.841899991,us-east1-c,8
1550163764,36064,0.862800002,us-east1-c,8
1550163900,40071,0.863099992,us-east1-c,8
1550164037,44079,0.861599982,us-east1-c,8
1550164173,48086,0.862800002,us-east1-c,8
1550164250,52096,0.863099992,us-east1-c,8
1550164387,56101,0.86680001,us-east1-c,8
1550164525,60105,0.865800023,us-east1-c,8
1550164663,64009,0.864099979,us-east1-c,8
