Zone,Run,Duration,Accuracy
us-east1-c,1,1901.0,0.884500027
us-east1-c,2,1832.0,0.911199987
us-east1-c,3,1837.0,0.899100006
us-east1-c,4,1778.0,0.887399971
us-east1-c,5,1958.0,0.901000023
us-east1-c,6,1844.0,0.882300019
us-east1-c,7,1838.0,0.843400002
us-east1-c,8,2016.0,0.864099979
us-central1-c,1,1839.0,0.899900019
us-central1-c,2,1840.0,0.894400001
us-central1-c,3,1834.0,0.904600024
us-central1-c,4,1840.0,0.889900029
us-central1-c,5,1837.0,0.883000016
us-central1-c,6,1777.0,0.896899998
us-central1-c,7,1778.0,0.882700026
us-central1-c,8,1779.0,0.875100017
us-central1-c,9,1835.0,0.887700021
us-west1-b,1,1901.0,0.90109998
us-west1-b,2,1773.0,0.889500022
us-west1-b,3,1779.0,0.891099989
us-west1-b,4,1840.0,0.89349997
us-west1-b,5,1838.0,0.905600011
us-west1-b,6,1841.0,0.882300019
us-west1-b,7,1841.0,0.868799984
us-west1-b,8,1784.0,0.870199978
us-west1-b,9,1900.0,0.889400005
europe-west1-b,1,1838.0,0.874300003
europe-west1-b,2,1836.0,0.864199996
europe-west1-b,3,1839.0,0.897800028
europe-west1-b,4,1840.0,0.909200013
europe-west1-b,5,1842.0,0.884000003
europe-west1-b,6,1841.0,0.903299987
