Zone,Run,Duration,Accuracy,Cost
us-central1-c,1,5348.122676,0.930899978,0.818559858
us-central1-c,2,5346.979346,0.930800021,0.818384865
us-central1-c,3,5531.979966,0.931599975,0.846700236
us-central1-c,4,5587.225668,0.932500005,0.855155898
us-central1-c,5,5345.576559,0.934199989,0.81817016
us-central1-c,6,5355.348747,0.932799995,0.819665848
us-central1-c,7,5348.840239,0.932699978,0.818669685
us-central1-c,8,5351.24607,0.927900016,0.81903791
us-central1-c,9,5289.144793,0.932200015,0.809532965
us-central1-c,10,5289.825024,0.9278,0.809637078
us-central1-c,11,5285.847296,0.929400027,0.809028265
us-central1-c,12,5287.530916,0.925800025,0.809285952
us-central1-c,13,5352.438563,0.932799995,0.819220428
us-central1-c,14,5289.518009,0.929099977,0.809590088
us-central1-c,15,5591.301632,0.932699978,0.855779746
us-central1-c,16,5527.804317,0.933600008,0.84606113
us-east1-c,1,5896.536504,0.932699978,0.902497638
us-east1-c,2,5713.230647,0.931500018,0.874441659
us-east1-c,3,5659.677171,0.933600008,0.866245002
us-east1-c,4,5408.814053,0.931100011,0.82784901
us-east1-c,6,5709.407584,0.925100029,0.873856518
us-east1-c,7,5346.039407,0.932900012,0.818241002
us-east1-c,8,5344.109885,0.930800021,0.817945678
us-east1-c,9,5345.278229,0.930800021,0.818124499
us-east1-c,10,5347.89714,0.930199981,0.818525338
us-east1-c,11,5409.515,0.927399993,0.827956294
us-east1-c,12,5346.490499,0.928799987,0.818310044
us-east1-c,13,5348.056499,0.92900002,0.818549729
us-east1-c,14,5414.845691,0.933000028,0.828772185
us-east1-c,16,5353.759215,0.931400001,0.819422561
us-east1-c,17,5354.110921,0.933300018,0.819476392
us-east1-c,18,5352.160353,0.933000028,0.819177847
us-east1-c,19,5287.205358,0.934400022,0.809236124
