Zone,Run,Duration,Accuracy,Cost
us-central1-a,1,4378.274335,0.9296,1.047137249
us-central1-a,4,4442.889963,0.923200011,1.062591153
us-central1-a,7,4503.15611,0.933899999,1.077004806
us-central1-a,8,4620.309343,0.932099998,1.105023954
us-central1-a,9,4502.35519,0.924799979,1.076813253
us-central1-a,10,4441.893455,0.924300015,1.062352822
us-central1-a,12,4379.107417,0.930199981,1.047336495
us-central1-a,13,4445.139259,0.922800004,1.06312911
us-central1-a,15,4502.619657,0.936200023,1.076876505
us-central1-a,16,4746.053093,0.931999981,1.135097666
us-central1-a,17,4864.316209,0.933700025,1.163382261
us-west1-b,3,4321.635752,0.928799987,1.033591189
us-west1-b,4,4382.811859,0.934599996,1.048222474
us-west1-b,5,4321.972189,0.926299989,1.033671653
us-west1-b,7,4377.486932,0.930299997,1.046948929
us-west1-b,9,4438.534057,0.931299984,1.061549366
us-west1-b,13,4260.289748,0.932399988,1.01891927
us-west1-b,15,4380.513059,0.923799992,1.047672677
us-west1-b,17,4378.18076,0.930599988,1.047114869
us-west1-b,18,4318.157651,0.930899978,1.032759343
us-west1-b,20,4379.181527,0.929199994,1.047354219
us-west1-b,24,4379.784009,0.935199976,1.047498313
us-west1-b,25,4319.25409,0.92869997,1.033021574
us-west1-b,26,4384.580057,0.930800021,1.048645368
