Zone,Run,Cost
us-central1-a,1,1.0471372493005775
us-central1-a,4,1.0625911532341146
us-central1-a,7,1.0770048062988429
us-central1-a,8,1.1050239536989022
us-central1-a,9,1.0768132529352166
us-central1-a,10,1.0623528217150346
us-central1-a,12,1.0473364946735975
us-central1-a,13,1.0631291098338123
us-central1-a,15,1.076876504567495
us-central1-a,16,1.135097666425086
us-central1-a,17,1.1633822609090076
us-west1-b,3,1.0335911885334983
us-west1-b,4,1.0482224736996963
us-west1-b,5,1.0336716530439611
us-west1-b,7,1.046948928729477
us-west1-b,9,1.061549365685485
us-west1-b,13,1.018919269707282
us-west1-b,15,1.0476726773836955
us-west1-b,17,1.0471148692231638
us-west1-b,18,1.032759342787598
us-west1-b,20,1.0473542193792367
us-west1-b,24,1.0474983129491082
us-west1-b,25,1.0330215744135545
us-west1-b,26,1.0486453677697791
